僨儅儞僪幚愌僨乕僞,2018擭,04寧,09擔
婡婍斣崋,婡婍柤徧,扨埵,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,嵟彫抣,嵟戝抣,暯嬒抣,崌寁抣
100211,3񒵼崋娰揹椡検 丂丂丂丂丂丂丂丂,kWH   ,    35.0,    35.0,    34.0,    36.0,    35.0,    36.0,    35.0,    36.0,    36.0,    35.0,    36.0,    35.0,    35.0,    38.0,    37.0,    35.0,    35.0,    38.0,    47.0,    55.0,    61.0,    74.0,    74.0,    82.0,    82.0,    79.0,    69.0,    73.0,    78.0,    80.0,    83.0,    82.0,    78.0,    73.0,    75.0,    74.0,    75.0,    73.0,    71.0,    65.0,    63.0,    48.0,    42.0,    41.0,    39.0,    38.0,    40.0,    37.0,    34.0,    83.0,    54.0,  2593.0
100212,19�20崋娰揹椡検 丂丂丂丂丂丂丂丂,kWH   ,    15.0,    17.0,    17.0,    16.0,    18.0,    16.0,    16.0,    17.0,    16.0,    18.0,    18.0,    19.0,    22.0,    19.0,    19.0,    22.0,    28.0,    34.0,    54.0,    53.0,    52.0,    57.0,    61.0,    70.0,    73.0,    71.0,    68.0,    68.0,    69.0,    63.0,    59.0,    57.0,    55.0,    55.0,    51.0,    42.0,    41.0,    40.0,    32.0,    34.0,    32.0,    25.0,    21.0,    21.0,    23.0,    21.0,    19.0,    20.0,    15.0,    73.0,    36.5,  1754.0
100213,10崋娰揹椡検丂丂丂丂丂丂丂丂丂丂,kWH   ,     3.0,     5.0,     3.0,     4.0,     4.0,     4.0,     4.0,     4.0,     4.0,     4.0,     4.0,     4.0,     4.0,     4.0,     4.0,     6.0,    12.0,    16.0,    30.0,    39.0,    37.0,    37.0,    43.0,    37.0,    37.0,    37.0,    29.0,    36.0,    32.0,    34.0,    34.0,    34.0,    35.0,    31.0,    26.0,    22.0,    21.0,    17.0,    16.0,    14.0,    14.0,    10.0,     9.0,     5.0,     5.0,     5.0,     4.0,     5.0,     3.0,    43.0,    17.2,   828.0
100214,番菔呓踢谆蕙15崋娰揹椡検丂丂丂丂,kWH   ,     7.0,     7.0,     7.0,     8.0,     7.0,     7.0,     7.0,     8.0,     6.0,     7.0,     7.0,     8.0,     8.0,     9.0,    12.0,    12.0,    22.0,    35.0,    39.0,    42.0,    40.0,    42.0,    46.0,    44.0,    46.0,    45.0,    49.0,    47.0,    43.0,    43.0,    42.0,    50.0,    45.0,    45.0,    44.0,    39.0,    32.0,    29.0,    23.0,    19.0,    17.0,    12.0,    10.0,     8.0,     8.0,     7.0,     8.0,     8.0,     6.0,    50.0,    24.1,  1156.0
100215,33崋娰揹椡検丂丂丂丂丂丂丂丂丂丂,kWH   ,    25.0,    26.0,    26.0,    25.0,    26.0,    26.0,    25.0,    26.0,    26.0,    26.0,    26.0,    26.0,    26.0,    26.0,    27.0,    28.0,    28.0,    30.0,    32.0,    37.0,    36.0,    36.0,    36.0,    38.0,    37.0,    36.0,    36.0,    34.0,    34.0,    35.0,    33.0,    36.0,    34.0,    33.0,    35.0,    35.0,    35.0,    36.0,    34.0,    34.0,    33.0,    31.0,    30.0,    28.0,    25.0,    26.0,    25.0,    25.0,    25.0,    38.0,    30.6,  1469.0
100216,17�11崋娰揹椡検 丂丂丂丂丂丂丂丂,kWH   ,    19.0,    19.0,    19.0,    18.0,    19.0,    19.0,    19.0,    19.0,    19.0,    19.0,    19.0,    19.0,    19.0,    17.0,    17.0,    20.0,    20.0,    20.0,    20.0,    23.0,    23.0,    23.0,    24.0,    26.0,    24.0,    24.0,    25.0,    23.0,    23.0,    26.0,    25.0,    27.0,    27.0,    26.0,    26.0,    27.0,    26.0,    27.0,    27.0,    28.0,    26.0,    25.0,    25.0,    21.0,    19.0,    21.0,    21.0,    19.0,    17.0,    28.0,    22.2,  1067.0
100217,30�31崋娰揹椡検 丂丂丂丂丂丂丂丂,kWH   ,    29.0,    32.0,    29.0,    30.0,    31.0,    30.0,    30.0,    30.0,    32.0,    30.0,    31.0,    31.0,    30.0,    31.0,    32.0,    34.0,    36.0,    39.0,    44.0,    49.0,    54.0,    54.0,    60.0,    61.0,    57.0,    59.0,    64.0,    68.0,    66.0,    68.0,    65.0,    66.0,    65.0,    61.0,    56.0,    52.0,    52.0,    49.0,    43.0,    43.0,    42.0,    39.0,    37.0,    33.0,    34.0,    33.0,    32.0,    32.0,    29.0,    68.0,    43.9,  2105.0
100218,32崋娰揹椡検丂丂丂丂丂丂丂丂丂丂,kWH   ,    13.0,    14.0,    13.0,    13.0,    13.0,    14.0,    14.0,    15.0,    13.0,    15.0,    14.0,    15.0,    13.0,    14.0,    14.0,    12.0,    13.0,    14.0,    14.0,    16.0,    18.0,    17.0,    18.0,    20.0,    19.0,    20.0,    19.0,    18.0,    18.0,    20.0,    18.0,    19.0,    19.0,    17.0,    18.0,    17.0,    17.0,    17.0,    18.0,    17.0,    18.0,    18.0,    18.0,    17.0,    14.0,    16.0,    16.0,    16.0,    12.0,    20.0,    16.1,   773.0
100219,戞堦妛惗伟贀d椡検 丂丂丂丂丂丂丂,kWH   ,     5.0,     6.0,     6.0,     6.0,     5.0,     6.0,     6.0,     7.0,     5.0,     6.0,     5.0,     7.0,     6.0,     6.0,     7.0,     7.0,     8.0,    11.0,    13.0,    15.0,    15.0,    15.0,    15.0,    14.0,    14.0,    15.0,    14.0,    12.0,    11.0,    11.0,     9.0,     9.0,     7.0,     7.0,     6.0,     6.0,     5.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     5.0,     6.0,     6.0,     5.0,     5.0,    15.0,     8.2,   392.0
100220,恾彂娰揹椡検丂丂丂丂丂丂丂丂丂丂,kWH   ,     3.0,     4.0,     3.0,     4.0,     3.0,     4.0,     4.0,     3.0,     4.0,     3.0,     4.0,     4.0,     3.0,     4.0,     3.0,     3.0,     4.0,    11.0,    29.0,    33.0,    31.0,    31.0,    32.0,    36.0,    34.0,    37.0,    39.0,    36.0,    34.0,    34.0,    35.0,    42.0,    40.0,    31.0,    31.0,    31.0,    29.0,    31.0,    30.0,    30.0,    33.0,    25.0,    16.0,     5.0,     3.0,     2.0,     2.0,     2.0,     2.0,    42.0,    18.6,   895.0
100221,恾彂娰怴娰揹椡検丂丂丂丂丂丂丂丂,kWH   ,     2.0,     4.0,     3.0,     3.0,     3.0,     3.0,     3.0,     3.0,     4.0,     3.0,     3.0,     5.0,     4.0,     4.0,     3.0,     3.0,     3.0,     6.0,    12.0,    11.0,    11.0,    13.0,    12.0,    13.0,    11.0,    13.0,    14.0,    13.0,    12.0,    12.0,    11.0,    12.0,    12.0,    11.0,    12.0,    12.0,    12.0,    11.0,    11.0,    10.0,    11.0,    10.0,     8.0,     4.0,     4.0,     3.0,     3.0,     4.0,     2.0,    14.0,     7.7,   370.0
100222,21崋娰揹椡検丂丂丂丂丂丂丂丂丂丂,kWH   ,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     7.0,     6.0,     9.0,    15.0,    19.0,    23.0,    27.0,    28.0,    34.0,    33.0,    35.0,    30.0,    32.0,    32.0,    31.0,    32.0,    26.0,    24.0,    23.0,    22.0,    21.0,    19.0,    19.0,    20.0,    19.0,    18.0,    16.0,    11.0,    10.0,    10.0,     8.0,     8.0,     8.0,     7.0,     6.0,    35.0,    16.0,   766.0
100223,22崋娰(搶)揹椡検丂丂丂丂丂丂丂丂,kWH   ,     1.0,     1.0,     2.0,     1.0,     1.0,     2.0,     1.0,     2.0,     1.0,     1.0,     2.0,     1.0,     1.0,     2.0,     1.0,     2.0,     1.0,     5.0,    14.0,    19.0,    19.0,    18.0,    20.0,    20.0,    19.0,    18.0,    17.0,    15.0,    18.0,    18.0,    18.0,    20.0,    18.0,    16.0,    12.0,     8.0,     6.0,     4.0,     3.0,     1.0,     2.0,     2.0,     1.0,     2.0,     1.0,     2.0,     1.0,     1.0,     1.0,    20.0,     7.5,   361.0
100224,24崋娰(憤崌忣曬据腊)揹椡検丂丂丂,kWH   ,    13.0,    15.0,    14.0,    14.0,    14.0,    15.0,    14.0,    14.0,    14.0,    15.0,    14.0,    14.0,    15.0,    14.0,    15.0,    14.0,    16.0,    15.0,    16.0,    17.0,    18.0,    18.0,    18.0,    18.0,    18.0,    17.0,    17.0,    19.0,    16.0,    19.0,    21.0,    19.0,    21.0,    21.0,    19.0,    18.0,    16.0,    17.0,    16.0,    14.0,    14.0,    14.0,    14.0,    15.0,    14.0,    14.0,    14.0,    14.0,    13.0,    21.0,    15.9,   765.0
100225,23崋娰(鼗傲据腊)揹椡検丂丂丂丂丂,kWH   ,     5.0,     5.0,     4.0,     4.0,     5.0,     5.0,     5.0,     5.0,     6.0,     6.0,     5.0,     6.0,     7.0,     6.0,     6.0,     4.0,     5.0,     6.0,    10.0,    10.0,     6.0,     9.0,     8.0,     8.0,     7.0,     5.0,     9.0,     7.0,     9.0,    10.0,     8.0,    11.0,     8.0,    10.0,     6.0,     7.0,     5.0,     7.0,     6.0,     6.0,     6.0,     6.0,     6.0,     6.0,     4.0,     4.0,     4.0,     5.0,     4.0,    11.0,     6.4,   308.0
100226,矣乇傥百揹椡検丂丂丂丂丂丂丂丂丂,kWH   ,     1.0,     2.0,     2.0,     2.0,     2.0,     3.0,     1.0,     2.0,     2.0,     3.0,     2.0,     1.0,     2.0,     1.0,     3.0,     3.0,     3.0,     2.0,     2.0,     2.0,     3.0,     3.0,     2.0,     3.0,     3.0,     2.0,     2.0,     2.0,     2.0,     4.0,     2.0,     2.0,     3.0,     3.0,     3.0,     2.0,     3.0,     5.0,     5.0,     5.0,     5.0,     5.0,     4.0,     4.0,     2.0,     2.0,     2.0,     2.0,     1.0,     5.0,     2.6,   126.0
100227,懱堢秹痪堇皳d椡検 丂丂丂丂丂丂,kWH   ,    14.0,    15.0,    15.0,    15.0,    15.0,    15.0,    15.0,    15.0,    14.0,    15.0,     4.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     2.0,     2.0,     2.0,     4.0,     9.0,    22.0,    23.0,    22.0,    14.0,     7.0,     7.0,    16.0,    16.0,    16.0,    15.0,    15.0,    16.0,     0.0,    23.0,     7.5,   360.0
100228,5崋娰壆奜揹椡検 丂丂丂丂丂丂丂丂,kWH   ,    17.0,    19.0,    17.0,    18.0,    18.0,    18.0,    17.0,    18.0,    19.0,    18.0,    17.0,    18.0,    17.0,    18.0,    17.0,    18.0,    17.0,    17.0,    19.0,    19.0,    18.0,    17.0,    19.0,    19.0,    17.0,    18.0,    19.0,    19.0,    17.0,    19.0,    18.0,    18.0,    19.0,    19.0,    16.0,    18.0,    18.0,    18.0,    17.0,    18.0,    17.0,    17.0,    20.0,    17.0,    17.0,    19.0,    18.0,    18.0,    16.0,    20.0,    17.9,   860.0
100229,恾彂娰(嬻挷)揹椡検丂丂丂丂丂丂丂,kWH   ,     1.0,     1.0,     2.0,     1.0,     1.0,     1.0,     2.0,     1.0,     2.0,     2.0,     1.0,     1.0,     1.0,     2.0,     2.0,     1.0,     2.0,     1.0,    19.0,     9.0,     9.0,     7.0,     8.0,     7.0,     8.0,    15.0,    11.0,     8.0,     8.0,     7.0,     8.0,    12.0,     7.0,     3.0,     3.0,     3.0,     3.0,     4.0,     2.0,     3.0,     2.0,     4.0,     2.0,     2.0,     2.0,     1.0,     1.0,     2.0,     1.0,    19.0,     4.3,   205.0
100230,22崋娰(惣)揹椡検丂丂丂丂丂丂丂丂,kWH   ,     0.0,     1.0,     1.0,     1.0,     0.0,     1.0,     1.0,     1.0,     0.0,     1.0,     1.0,     0.0,     1.0,     1.0,     1.0,     2.0,     1.0,     2.0,     1.0,     2.0,     2.0,     3.0,     4.0,     5.0,     4.0,     4.0,     5.0,     6.0,     6.0,     7.0,     6.0,     5.0,     5.0,     5.0,     3.0,     2.0,     1.0,     3.0,     1.0,     2.0,     1.0,     1.0,     2.0,     2.0,     1.0,     1.0,     2.0,     0.0,     0.0,     7.0,     2.2,   108.0
100231,25崋娰曽柺揹椡検丂丂丂丂丂丂丂丂,kWH   ,    10.0,    10.0,    10.0,    10.0,    11.0,    10.0,    11.0,    10.0,    10.0,    11.0,    10.0,    11.0,    11.0,    13.0,    18.0,    21.0,    25.0,    29.0,    41.0,    55.0,    57.0,    68.0,    70.0,    72.0,    73.0,    67.0,    71.0,    72.0,    67.0,    70.0,    72.0,    76.0,    80.0,    78.0,    61.0,    47.0,    38.0,    34.0,    29.0,    30.0,    25.0,    22.0,    20.0,    20.0,    14.0,    13.0,    14.0,    14.0,    10.0,    80.0,    35.6,  1711.0
100232,皋壮菽迺麞蕮d椡検 丂丂丂丂丂丂丂,kWH   ,    20.0,    19.0,    16.0,    16.0,    20.0,    20.0,    19.0,    17.0,    17.0,    19.0,    16.0,    15.0,    17.0,    18.0,    16.0,    21.0,    21.0,    19.0,    30.0,    32.0,    33.0,    34.0,    37.0,    36.0,    38.0,    36.0,    42.0,    43.0,    42.0,    41.0,    41.0,    45.0,    48.0,    51.0,    66.0,    75.0,   114.0,   139.0,   133.0,   136.0,   137.0,   101.0,    53.0,    41.0,    30.0,    28.0,    28.0,    27.0,    15.0,   139.0,    43.0,  2063.0
100233,70崋娰曽柺揹椡検丂丂丂丂丂丂丂丂,kWH   ,     5.0,     5.0,     5.0,     6.0,     5.0,     5.0,     6.0,     5.0,     5.0,     6.0,     5.0,     5.0,     6.0,     5.0,     7.0,     9.0,    21.0,    22.0,    31.0,    30.0,    27.0,    30.0,    43.0,    39.0,    34.0,    40.0,    33.0,    38.0,    36.0,    38.0,    39.0,    37.0,    34.0,    35.0,    30.0,    26.0,    29.0,    24.0,    18.0,    18.0,    17.0,    14.0,     8.0,     7.0,     7.0,     6.0,     7.0,     6.0,     5.0,    43.0,    19.0,   914.0
100234,50崋娰曽柺揹椡検丂丂丂丂丂丂丂丂,kWH   ,    75.0,    81.0,    76.0,    81.0,    77.0,    77.0,    80.0,    79.0,    84.0,    78.0,    83.0,    88.0,    84.0,    91.0,    90.0,    93.0,    99.0,   143.0,   164.0,   197.0,   176.0,   187.0,   210.0,   198.0,   192.0,   189.0,   180.0,   193.0,   181.0,   165.0,   164.0,   152.0,   160.0,   155.0,   144.0,   131.0,   132.0,   125.0,   119.0,   108.0,   105.0,    98.0,    97.0,    91.0,    89.0,    89.0,    84.0,    85.0,    75.0,   210.0,   123.3,  5919.0
100235,50�51崋娰揹椡検 丂丂丂丂丂丂丂丂,kWH   ,    41.0,    43.0,    43.0,    44.0,    43.0,    40.0,    43.0,    44.0,    46.0,    44.0,    44.0,    52.0,    48.0,    51.0,    53.0,    52.0,    62.0,    96.0,   114.0,   140.0,   115.0,   129.0,   141.0,   136.0,   129.0,   132.0,   126.0,   129.0,   121.0,   107.0,   102.0,    94.0,    97.0,    94.0,    89.0,    82.0,    85.0,    76.0,    71.0,    64.0,    62.0,    59.0,    56.0,    53.0,    51.0,    50.0,    48.0,    47.0,    40.0,   141.0,    76.8,  3688.0
100236,53崋娰(抧忋)揹椡検丂丂丂丂丂丂丂,kWH   ,    21.0,    24.0,    21.0,    25.0,    22.0,    23.0,    25.0,    23.0,    24.0,    23.0,    25.0,    24.0,    24.0,    24.0,    24.0,    27.0,    20.0,    25.0,    23.0,    24.0,    24.0,    21.0,    27.0,    22.0,    25.0,    25.0,    23.0,    26.0,    25.0,    23.0,    25.0,    22.0,    25.0,    24.0,    23.0,    25.0,    24.0,    28.0,    27.0,    25.0,    24.0,    23.0,    25.0,    24.0,    23.0,    24.0,    23.0,    25.0,    20.0,    28.0,    24.0,  1151.0
100237,52崋娰揹椡検丂丂丂丂丂丂丂丂丂丂,kWH   ,     2.0,     1.0,     2.0,     2.0,     2.0,     2.0,     1.0,     2.0,     2.0,     2.0,     2.0,     2.0,     1.0,     3.0,     3.0,     3.0,     3.0,     3.0,     5.0,     3.0,     4.0,     3.0,     6.0,     5.0,     6.0,     5.0,     6.0,     6.0,     6.0,     6.0,     6.0,     7.0,     6.0,     7.0,     6.0,     5.0,     7.0,     6.0,     6.0,     4.0,     6.0,     4.0,     4.0,     3.0,     4.0,     3.0,     3.0,     4.0,     1.0,     7.0,     4.0,   190.0
100238,疼菝ū尋媶搹揹椡検丂丂丂丂丂丂丂,kWH   ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
100239,崅揹埑幚尡幒揹椡検丂丂丂丂丂丂丂,kWH   ,     0.0,     0.0,     1.0,     1.0,     0.0,     0.0,     1.0,     1.0,     0.0,     1.0,     0.0,     1.0,     0.0,     1.0,     0.0,     1.0,     0.0,     1.0,     0.0,     1.0,     1.0,     1.0,     0.0,     1.0,     1.0,     1.0,     1.0,     1.0,     1.0,     0.0,     1.0,     1.0,     1.0,     2.0,     1.0,     1.0,     1.0,     2.0,     1.0,     1.0,     1.0,     0.0,     1.0,     0.0,     1.0,     0.0,     1.0,     0.0,     0.0,     2.0,     0.7,    34.0
100240,懱堢娰揹椡検丂丂丂丂丂丂丂丂丂丂,kWH   ,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.0,     0.0,     0.0,     0.0,     1.0,     0.0,     2.0,     5.0,     5.0,     6.0,     6.0,     6.0,     6.0,     7.0,     9.0,    10.0,    13.0,    12.0,    14.0,    12.0,    12.0,    12.0,    16.0,    14.0,    16.0,    16.0,    15.0,    15.0,    15.0,    14.0,    11.0,     6.0,     2.0,     3.0,     0.0,     1.0,     0.0,    16.0,     5.9,   283.0
100241,皋壮菽迵d椡検 丂丂丂丂丂丂丂丂丂,kWH   ,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,    13.0,    17.0,    18.0,    18.0,    17.0,    16.0,     3.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,    18.0,     2.1,   102.0
100242,29崋娰(缸剔セ案偬咦晦)揹椡検丂丂,kWH   ,     1.0,     2.0,     2.0,     2.0,     2.0,     2.0,     2.0,     2.0,     2.0,     2.0,     1.0,     2.0,     2.0,     2.0,     1.0,     2.0,     2.0,     2.0,     3.0,     4.0,     5.0,     4.0,     5.0,     6.0,     6.0,     7.0,     8.0,     9.0,     9.0,     9.0,     8.0,     8.0,     8.0,     8.0,     7.0,     6.0,     7.0,     8.0,     7.0,     7.0,     7.0,     6.0,     5.0,     4.0,     2.0,     2.0,     2.0,     2.0,     1.0,     9.0,     4.4,   212.0
100243,闷胶澳揹椡検丂丂丂丂丂丂丂丂丂丂,kWH   ,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.0,     0.0,     0.0,     0.0,     1.0,     0.0,     0.0,     3.0,     2.0,     2.0,     2.0,     2.0,     2.0,     1.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     3.0,     0.3,    16.0
100244,53崋娰(壆忋)揹椡検丂丂丂丂丂丂丂,kWH   ,     3.0,     3.0,     4.0,     3.0,     4.0,     3.0,     3.0,     4.0,     3.0,     3.0,     4.0,     3.0,     3.0,     4.0,     3.0,     4.0,     7.0,     8.0,     9.0,    11.0,    10.0,     9.0,    11.0,    11.0,    11.0,     9.0,     9.0,     9.0,     9.0,     9.0,     9.0,     8.0,     9.0,     8.0,     8.0,     8.0,     5.0,     4.0,     4.0,     5.0,     3.0,     3.0,     3.0,     4.0,     3.0,     3.0,     3.0,     3.0,     3.0,    11.0,     5.8,   279.0
100245,挻揱摫幚尡搹揹椡検丂丂丂丂丂丂丂,kWH   ,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.0,     2.0,     3.0,     2.0,     2.0,     2.0,     2.0,     3.0,     3.0,     2.0,     2.0,     2.0,     2.0,     2.0,     1.0,     2.0,     1.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     3.0,     0.7,    34.0
